,Train size,Model,Accuracy,Time
0,500,HMM,0.173,7.162702322006226
1,500,TnT,0.747,18.754546880722046
2,500,Perceptron,0.914,7.789661884307861
3,500,CRF,0.91,5.1505656242370605
4,1000,HMM,0.221,7.766669988632202
5,1000,TnT,0.796,48.149120807647705
6,1000,Perceptron,0.932,11.303213357925415
7,1000,CRF,0.925,10.533151388168335
8,1500,HMM,0.262,8.417785406112671
9,1500,TnT,0.827,80.75049757957458
10,1500,Perceptron,0.941,15.29126787185669
11,1500,CRF,0.933,17.48209834098816
12,2000,HMM,0.304,9.030417680740356
13,2000,TnT,0.848,103.70256471633911
14,2000,Perceptron,0.949,19.53273344039917
15,2000,CRF,0.939,26.56183695793152
16,2500,HMM,0.335,9.295353651046753
17,2500,TnT,0.862,107.91348075866699
18,2500,Perceptron,0.953,22.731122255325317
19,2500,CRF,0.943,37.13073968887329
20,3000,HMM,0.368,9.988723754882812
21,3000,TnT,0.876,114.22043824195862
22,3000,Perceptron,0.958,24.933927059173584
23,3000,CRF,0.947,59.21100926399231
